date,date2,index
43832,1/2/2020,28543.52
43833,1/3/2020,28451.5
43836,1/6/2020,28226.19
43837,1/7/2020,28322.06
43838,1/8/2020,28087.92
43839,1/9/2020,28561
43840,1/10/2020,28638.2
43843,1/13/2020,28954.94
43844,1/14/2020,28885.14
43845,1/15/2020,28773.59
43846,1/16/2020,28883.04
43847,1/17/2020,29056.42
43850,1/20/2020,28795.91
43851,1/21/2020,27985.33
43852,1/22/2020,28341.04
43853,1/23/2020,27909.12
43854,1/24/2020,27949.64
43859,1/29/2020,27160.63
43860,1/30/2020,26449.13
43861,1/31/2020,26312.63
43864,2/3/2020,26356.98
43865,2/4/2020,26675.98
43866,2/5/2020,26786.74
43867,2/6/2020,27493.7
43868,2/7/2020,27404.27
43871,2/10/2020,27241.34
43872,2/11/2020,27583.88
43873,2/12/2020,27823.66
43874,2/13/2020,27730
43875,2/14/2020,27815.6
43878,2/17/2020,27959.6
43879,2/18/2020,27530.2
43880,2/19/2020,27655.81
43881,2/20/2020,27609.16
43882,2/21/2020,27308.81
43885,2/24/2020,26820.88
43886,2/25/2020,26893.23
43887,2/26/2020,26696.49
43888,2/27/2020,26778.62
43889,2/28/2020,26129.93
43892,3/2/2020,26291.68
43893,3/3/2020,26284.82
43894,3/4/2020,26222.07
43895,3/5/2020,26767.87
43896,3/6/2020,26146.67
43899,3/9/2020,25040.46
43900,3/10/2020,25392.51
43901,3/11/2020,25231.61
43902,3/12/2020,24309.07
43903,3/13/2020,24032.91
43906,3/16/2020,23063.57
43907,3/17/2020,23263.73
43908,3/18/2020,22291.82
43909,3/19/2020,21709.13
43910,3/20/2020,22805.07
43913,3/23/2020,21696.13
43914,3/24/2020,22663.49
43915,3/25/2020,23527.19
43916,3/26/2020,23352.34
43917,3/27/2020,23484.28
43920,3/30/2020,23175.11
43921,3/31/2020,23603.48
43922,4/1/2020,23085.79
43923,4/2/2020,23280.06
43924,4/3/2020,23236.11
43927,4/6/2020,23749.12
43928,4/7/2020,24253.29
43929,4/8/2020,23970.37
43930,4/9/2020,24300.33
43935,4/14/2020,24435.4
43936,4/15/2020,24145.34
43937,4/16/2020,24006.45
43938,4/17/2020,24380
43941,4/20/2020,24330.02
43942,4/21/2020,23793.55
43943,4/22/2020,23893.36
43944,4/23/2020,23977.32
43945,4/24/2020,23831.33
43948,4/27/2020,24280.14
43949,4/28/2020,24575.96
43950,4/29/2020,24643.59
43955,5/4/2020,23613.8
